"ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","TotalPrkng","MaintFee","TypeDwel","Bylaw Restrictions","# of Kitchens","# of Pets","# or % of Rentals Allowed","Title to Land","Area","Bath Ensuite # Of Pcs","Bath1 #Pcs","Bath1 Ensuite?","Bath1 Level","Bath2 #Pcs","Bath2 Ensuite?","Bath2 Level","Bath3 #Pcs","Bath3 Ensuite?","Bath3 Level","Bath4 #Pcs","Bath4 Ensuite?","Bath4 Level","Bath5 #Pcs","Bath5 Ensuite?","Bath5 Level","Bath6 #Pcs","Bath6 Ensuite?","Bath6 Level","Bath7 #Pcs","Bath7 Ensuite?","Bath7 Level","Bath8 #Pcs","Bath8 Ensuite?","Bath8 Level","Baths Concatenation","Bds In Bsmt","Bds Not In Bsmt","City","Complex/Subdivision Name","Concatenated Rooms","Confirm Sold Date","Cumulative DOM","Cumulative DOMLS","Days On MLS","Dwelling Classification","Entry Date","Entry Date Delay","Expiry Date","Fireplaces","Floor Area - Unfinished","Floor Area Fin - Abv Main","Floor Area Fin - Basement","Floor Area Fin - BLW Main","Floor Area Fin - Main Flr","Floor Area Fin - Total","Full Baths","Full Height","General Date","Geocode Quality","GST Incl","Half Baths","How Sold","Jurisdiction","Land Lease Expiry Year","List Price","Measurement Type","Member Board Affiliation","Municipality","Neighborhood Code","No. Floor Levels","Postal Code","Price Date","Price Per SQFT","Processed Date","Prop Type","Property Disclosure","Province","Region","Restricted Age","Room 1 Dimension 1","Room 1 Dimension 2","Room 1 Level","Room 1 Type","Room 10 Dimension 1","Room 10 Dimension 2","Room 10 Level","Room 10 Type","Room 11 Dimension 1","Room 11 Dimension 2","Room 11 Level","Room 11 Type","Room 12 Dimension 1","Room 12 Dimension 2","Room 12 Level","Room 12 Type","Room 13 Dimension 1","Room 13 Dimension 2","Room 13 Level","Room 13 Type","Room 14 Dimension 1","Room 14 Dimension 2","Room 14 Level","Room 14 Type","Room 15 Dimension 1","Room 15 Dimension 2","Room 15 Level","Room 15 Type","Room 16 Dimension 1","Room 16 Dimension 2","Room 16 Level","Room 16 Type","Room 17 Dimension 1","Room 17 Dimension 2","Room 17 Level","Room 17 Type","Room 18 Dimension 1","Room 18 Dimension 2","Room 18 Level","Room 18 Type","Room 19 Dimension 1","Room 19 Dimension 2","Room 19 Level","Room 19 Type","Room 2 Dimension 1","Room 2 Dimension 2","Room 2 Level","Room 2 Type","Room 20 Dimension 1","Room 20 Dimension 2","Room 20 Level","Room 20 Type","Room 3 Dimension 1","Room 3 Dimension 2","Room 3 Level","Room 3 Type","Room 4 Dimension 1","Room 4 Dimension 2","Room 4 Level","Room 4 Type","Room 5 Dimension 1","Room 5 Dimension 2","Room 5 Level","Room 5 Type","Room 6 Dimension 1","Room 6 Dimension 2","Room 6 Level","Room 6 Type","Room 7 Dimension 1","Room 7 Dimension 2","Room 7 Level","Room 7 Type","Room 8 Dimension 1","Room 8 Dimension 2","Room 8 Level","Room 8 Type","Room 9 Dimension 1","Room 9 Dimension 2","Room 9 Level","Room 9 Type","Room Type Search","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","SP/OLP Ratio","Storeys in Building","Title Search","Tot Units in Strata Plan","Units in Development","Zoning"
"R3034678","A","183 46150 THOMAS ROAD","H79","$599,000","8/6/2025","7","3","3","1,487","2022","3","4","$306.67","Townhouse","PETY","1","No Restriction",,"First Nations Lease","Sardis","4","2","No","Above",,"No",,,"No",,,"No",,"4","No","Abv Main 2",,"No",,,"No",,,"No",,"9BATH4|9BATH4|9BATH4|9BATH4|9BATH4|","0","3","Chilliwack","Base 10","|OFFICMN|FOYERMN|UTILMN|LVGRMABV|KITCHABV|DINRMABV|PBDRMABV2|BDRMABV2|BDRMABV2|",,"74",,,"Attached","8/7/2025 11:10 AM",,"8/6/2026","1","0","617","0","0","198","1,487","2",,"8/6/2025",,"No","1",,,"2127","$599,000",,"Fraser Valley Real Estate Board",,,"3","V2R 6B3","8/7/2025","$402.82",,"Residential Attached","Yes","BC","Chilliwack",,"8'11","8'11","Main","Office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3'11","8'11","Main","Foyer",,,,,"6'4","5'10","Main","Utility","16'5","14'","Above","Living Room","9'1","15'1","Above","Kitchen","10'2","15'","Above","Dining Room","10'3","12'3","Abv Main 2","Primary Bedroom","8'","13'8","Abv Main 2","Bedroom","10'11","10'8","Abv Main 2","Bedroom",,,,,,,,"No",,,"R4"
"R2995477","T","4 6029 PROMONTORY ROAD","H73","$599,900","4/30/2025","34","3","3","1,692","2019","6","3","$300.00","Townhouse","PETR","1","2",,"First Nations Lease","Sardis","4","2","No","Main","4","No","Above","4","Yes","Above",,,,,,,,,,,,,,,,,"0","3","Chilliwack","Wealick Place","|KITCHMN|DINRMMN|LVGRMMN|BDRMABV|BDRMABV|PBDRMABV|WICLOABV|FOYERBLW|RECRMBLW|",,"34",,,"Attached","4/30/2025 3:36 PM",,"6/3/2025",,"0","703","320","0","669","1,692","2",,"6/3/2025",,,"1",,"CITY OF CHILLIWACK","2144","$599,900","Feet","Chilliwack & District Real Estate Board","Chilliwack",,"3","V2R 6B1","5/20/2025","$354.55",,"Residential Attached","No","BC","Chilliwack",,"14'4","12'10","Main","Kitchen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14'5","8'11","Main","Dining Room",,,,,"12'1","14'5","Main","Living Room","9'4","11'0","Above","Bedroom","9'5","11'0","Above","Bedroom","12'0","17'3","Above","Primary Bedroom","6'4","6'7","Above","Walk-In Closet","6'2","4'9","Below","Foyer","19'1","7'1","Below","Recreation Room",,,,,,,,"No","18","18","RS3"
"R3002831","F","3 6029 PROMONTORY ROAD","H73","$599,900","5/14/2025","1","3","3","1,773","2019","6","3","$300.00","Townhouse","PETR","1","2",,"First Nations Lease","Sardis","8","2","No","Main","4","No","Above","4","Yes","Above",,,,,,,,,,,,,,,,"|1BATH2|2BATH4|3BATH4|","0","3","Chilliwack","Wealick Place","|KITCHMN|DINRMMN|LVGRMMN|BDRMABV|BDRMABV|PBDRMABV|WICLOABV|FOYERBLW|RECRMBLW|","5/15/2025","15","15","1","Attached","5/14/2025 11:40 AM",,"8/14/2025",,"0","753","320","0","700","1,773","2",,"5/15/2025",,,"1","NOT USED","CITY OF CHILLIWACK","2144","$599,900","Feet","Chilliwack & District Real Estate Board","Chilliwack",,"3","V2R 6B1","5/14/2025","$338.35","6/2/2025","Residential Attached","No","BC","Chilliwack",,"14'4","12'4","Main","Kitchen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20'3","9'10","Main","Dining Room",,,,,"20'7","16'5","Main","Living Room","10'11","10'4","Above","Bedroom","9'3","10'11","Above","Bedroom","14'1","17'6","Above","Primary Bedroom","5'10","6'0","Above","Walk-In Closet","5'7","4'9","Below","Foyer","20'1","7'2","Below","Recreation Room",,"5/15/2025","$599,900","$338.35","1.00","1.00",,"Yes","18","18","RS3"
"R2989232","F","144 6450 VEDDER ROAD","H73","$600,000","4/10/2025","52","3","3","1,439","1999","26","4","$296.96","Townhouse","PETR","1","2","100","Freehold Strata","Sardis","6","2","No","Main","4","No","Above","3","Yes","Above",,,,,,,,,,,,,,,,"|1BATH2|2BATH4|3BATH3|","0","3","Chilliwack","Country Grove","|FOYERMN|KITCHMN|DINRMMN|LVGRMMN|PBDRMABV|WICLOABV|BDRMABV|BDRMABV|","6/1/2025","52","52","52","Attached","4/10/2025 3:50 PM",,"10/10/2025","1","0","839","0","0","600","1,439","2",,"6/1/2025",,,"1","NOT USED",,,"$619,900",,"Real Estate Board of Greater Vancouver",,,"2","V2R 5N7","6/17/2025","$416.96","6/17/2025","Residential Attached","Yes","BC","Chilliwack",,"4'5","7'11","Main","Foyer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9'8","10'","Main","Kitchen",,,,,"9'8","11'2","Main","Dining Room","12'2","16'6","Main","Living Room","15'9","16'6","Above","Primary Bedroom","6'2","7'4","Above","Walk-In Closet","10'11","13'5","Above","Bedroom","10'11","9'5","Above","Bedroom",,,,,,"6/1/2025","$600,000","$416.96","0.97","0.95",,"Yes","82",,"R4"
"R2998859","P","45 6887 SHEFFIELD WAY","H72","$600,000","5/6/2025","73","3","3","1,562","2003","22","3","$300.00","Townhouse","PETR","1","1","100","Freehold Strata","Sardis","3","2","No","Main","3","Yes","Main","4","No","Above",,"No",,,"No",,,"No",,,"No",,,"No",,,"0","3","Chilliwack","Parksfield","|LVGRMMN|DINRMMN|KITCHMN|PBDRMMN|WICLOMN|LAUNDMN|BDRMABV|BDRMABV|","7/18/2025","73","73","73","Attached","5/6/2025 10:49 AM",,"8/31/2025","1","0","526","0","0","1,036","1,562","2",,"7/18/2025",,,"1","NOT USED",,,"$630,000",,"Fraser Valley Real Estate Board",,,"2","V2R 5V5","8/1/2025","$384.12","8/1/2025","Residential Attached","Yes","BC","Chilliwack",,"13'2","21'","Main","Living Room","12'3","13'1","Above","Bedroom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8'","11'5","Main","Dining Room",,,,,"9'10","14'4","Main","Kitchen","11'7","16'1","Main","Primary Bedroom","5'","8'8","Main","Walk-In Closet","6'11","5'1","Main","Laundry",,,,,,,,,"12'2","13'6","Above","Bedroom",,"7/18/2025","$600,000",,,,,"No",,"93","CD7"
"R2995988","P","25 6449 BLACKWOOD LANE","H73","$605,000","4/30/2025","13","4","3","1,836","2005","20","3","$356.65","Townhouse","PETR, RENY","1",,,"Freehold Strata","Sardis","3","2","No","Main","3","Yes","Main","4","No","Above",,"No",,,"No",,,"No",,,"No",,,"No",,,"0","4","Chilliwack","CEDAR PARK","|DINRMMN|KITCHMN|LVGRMMN|PBDRMMN|LAUNDMN|FOYERMN|BDRMABV|BDRMABV|BDRMABV|","5/13/2025","13","12","12","Attached","5/1/2025 10:48 AM",,"10/30/2025","1","0","751","0","0","1,085","1,836","2",,"5/13/2025",,,"1","NOT USED",,,"$599,900","Feet","Fraser Valley Real Estate Board",,,"2","V2R 5X5","6/11/2025","$329.52","6/11/2025","Residential Attached","Yes","BC","Chilliwack",,"9'2","11'4","Main","Dining Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14'5","13'10","Main","Kitchen",,,,,"14'10","15'6","Main","Living Room","12'5","14'4","Main","Primary Bedroom","9'2","6'10","Main","Laundry","4'10","9'6","Main","Foyer","14'5","9'3","Above","Bedroom","12'5","13'7","Above","Bedroom","12'5","12'4","Above","Bedroom",,"5/13/2025","$605,000",,,,,"No",,,"R4"
"R2966046","F","24 44849 ANGLERS BOULEVARD","H78","$605,000","2/11/2025","139","2","3","1,533","2016","9","2","$291.39","Townhouse","PETR, RENY","1",,,"Freehold Strata","Sardis","10","2","No","Main","4","No","Abv Main 2","5","Yes","Abv Main 2",,,,,,,,,,,,,,,,"|1BATH2|2BATH4|3BATH5|","0","2","Chilliwack","The Current at River's Edge","|LVGRMMN|DINRMMN|KITCHMN|PBDRMABV|BDRMABV|FOYERBLW|","6/30/2025","139","138","138","Attached","2/12/2025 9:13 AM",,"2/11/2026","1","0","704","0","125","704","1,533","2",,"6/30/2025",,,"1","NOT USED",,,"$615,000",,"Chilliwack & District Real Estate Board",,,"3","V2R 0Y4","7/11/2025","$394.65","7/11/2025","Residential Attached","No","BC","Chilliwack",,"15'3","14'4","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12'11","12'5","Main","Dining Room",,,,,"15'2","11'11","Main","Kitchen","15'3","14'0","Above","Primary Bedroom","15'4","9'6","Above","Bedroom","12'","4'","Below","Foyer",,,,,,,,,,,,,,"6/30/2025","$605,000","$394.65","0.98","0.83",,"No",,,"CD-19"
"R3028120","A","15 46858 RUSSELL ROAD","H74","$609,000","7/23/2025","21","3","2","1,667","2004","21","2","$373.25","Townhouse","PETR, SMKG","1","2",,"Freehold Strata","Sardis","3","4","No","Above","3","Yes","Above",,,,,,,,,,,,,,,,,,,,"0","3","Chilliwack","Panorama Ridge","|LVGRMMN|KITCHMN|DINRMMN|FAMRMMN|PBDRMABV|BDRMABV|BDRMABV|LAUNDABV|FOYERBLW|RECRMBLW|",,"21",,,"Attached","7/23/2025 8:44 AM",,"12/23/2025","1","0","678","0","344","645","1,667","2",,"7/23/2025",,,"0",,,,"$609,000",,"Fraser Valley Real Estate Board",,,"3","V2R 5T3","7/17/2025","$365.33",,"Residential Attached","Yes","BC","Chilliwack",,"16'6","17'2","Main","Living Room","15'11","16'9","Below","Recreation Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10'","13'10","Main","Kitchen",,,,,"9'","7'2","Main","Dining Room","10'9","10'","Main","Family Room","12'11","11'10","Above","Primary Bedroom","12'6","8'4","Above","Bedroom","12'6","8'4","Above","Bedroom","5'6","5'1","Above","Laundry","6'11","5'3","Below","Foyer",,,,,,,,"No",,,"R4"
"R3008232","A","73 45175 WELLS ROAD","H71","$609,900","5/27/2025","78","3","2","1,292","1993","32","1","$289.44","Townhouse","AGER, PETR, RENN","1","1",,"Freehold Strata","Sardis","4","2","No","Main","4","Yes","Above",,,,,,,,,,,,,,,,,,,,"0","3","Chilliwack","WELLSBROOKE","|EATARMN|KITCHMN|LVGRMMN|DINRMMN|PBDRMABV|BDRMABV|BDRMABV|",,"78",,,"Attached","5/28/2025 9:16 AM",,"11/30/2025","1","0","603","0","0","689","1,292","1",,"5/27/2025",,,"1",,,,"$609,900",,"Real Estate Board of Greater Vancouver",,,"2","V2R 3K7","6/17/2025","$472.06",,"Residential Attached","Yes","BC","Chilliwack","55+","10'10","7'3","Main","Eating Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10'6","8'7","Main","Kitchen",,,,,"15'5","13'2","Main","Living Room","10'2","9'10","Main","Dining Room","14'","12'5","Above","Primary Bedroom","9'2","11'4","Above","Bedroom","9'8","9'2","Above","Bedroom",,,,,,,,,,,,,,,,"Yes",,,"R4"
"R3003505","P","49 6498 SOUTHDOWNE PLACE","H73","$610,000","5/15/2025","53","3","3","1,731","2009","16","2","$340.83","Townhouse","PETR","1",,,"Freehold Strata","Sardis","3","2","No","Main","4","No","Above","3","Yes","Above",,,,,,,,,,,,,,,,,"0","3","Chilliwack",,"|DINRMMN|LVGRMMN|KITCHMN|PANTRMN|BDRMABV|BDRMABV|PBDRMABV|WICLOABV|LAUNDBST|FLEXBST|FOYERBST|","7/7/2025","53","53","53","Attached","5/15/2025 3:02 PM",,"10/31/2025","1","0","725","372","0","634","1,731","2",,"7/7/2025",,,"1","NOT USED",,,"$617,500",,"Chilliwack & District Real Estate Board",,,"3","V2R 0K3","7/16/2025","$352.40","7/16/2025","Residential Attached","Yes","BC","Chilliwack",,"13'8","9'3","Main","Dining Room","14'","10'9","Bsmt","Flex Room","7'3","4'11","Bsmt","Foyer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16'","12'11","Main","Living Room",,,,,"11'","9'","Main","Kitchen","4'11","4'1","Main","Pantry","12'11","8'11","Above","Bedroom","12'9","9'","Above","Bedroom","14'10","13'","Above","Primary Bedroom","4'11","4'10","Above","Walk-In Closet","10'11","7'1","Bsmt","Laundry",,"7/7/2025","$610,000",,,,,"Yes",,,"CD-14"
"R3002163","T","103 46360 VALLEYVIEW ROAD","H74","$610,000","5/13/2025","59","3","2","1,650","2003","22","2","$378.46","Townhouse","PETR, RENY","1","2","100","Freehold Strata","Sardis","0","4","No","Main","4","No","Below",,"No",,,"No",,,"No",,,"No",,,"No",,,"No",,,"0","3","Chilliwack","Centre Rock","|LVGRMMN|KITCHMN|DINRMMN|PBDRMMN|BDRMMN|BDRMBLW|FAMRMBLW|LAUNDBLW|UTILBLW|FOYERBLW|",,"59",,,"Attached","5/13/2025 2:38 PM",,"7/11/2025","1","0","0","0","668","982","1,650","2",,"7/11/2025",,,"0",,,,"$610,000",,"Chilliwack & District Real Estate Board",,,"2","V2R 5L7","6/19/2025","$369.70",,"Residential Attached","Yes","BC","Chilliwack",,"14'1","15'11","Main","Living Room","5'7","5'10","Below","Foyer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9'1","11'4","Main","Kitchen",,,,,"8'7","13'5","Main","Dining Room","11'3","16'11","Main","Primary Bedroom","11'3","12'0","Main","Bedroom","8'10","12'9","Below","Bedroom","19'5","12'9","Below","Family Room","7'","5'7","Below","Laundry","5'11","5'7","Below","Utility",,,,,,,,"No",,"175","R5"
"R2972196","A","24 45296 WATSON ROAD","H78","$612,900","3/3/2025","163","3","3","1,624","1999","26","1","$271.00","Townhouse","PETR, RENY","1","2","100","Freehold Strata","Sardis","3","3","Yes","Above","4","No","Above","2","No","Main",,"No",,,"No",,,"No",,,"No",,,"No",,,"0","3","Chilliwack",,"|LVGRMMN|DINRMMN|KITCHMN|EATARMN|PBDRMABV|BDRMABV|BDRMABV|FAMRMBLW|",,"163",,,"Attached","3/3/2025 9:58 AM",,"9/3/2025","1","0","639","0","365","620","1,624","2",,"3/3/2025",,"No","1",,,,"$612,900","Feet","Chilliwack & District Real Estate Board",,,"3","V2R 3J4","3/3/2025","$377.40",,"Residential Attached","Yes","BC","Chilliwack",,"12'4","12'6","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9'6","9'","Main","Dining Room",,,,,"9'","10'6","Main","Kitchen","9'4","10'6","Main","Eating Area","12'4","13'2","Above","Primary Bedroom","9'6","11'2","Above","Bedroom","9'6","9'6","Above","Bedroom","19'4","11'6","Below","Family Room",,,,,,,,,,,,"No",,,"R5"
"R2999863","T","159 46360 VALLEYVIEW ROAD","H74","$615,000","5/7/2025","83","3","3","1,473","2003","22","4","$343.83","Townhouse","PETR","1","2",,"Freehold Strata","Sardis","3","2","No","Main","4","No","Above","3","Yes","Above",,"No",,,"No",,,"No",,,"No",,,"No",,,"0","3","Chilliwack","CENTRE ROCK FARMS AT APPLE CREEK","|FOYERMN|KITCHMN|DINRMMN|LVGRMMN|PBDRMABV|WICLOABV|BDRMABV|BDRMABV|LAUNDABV|",,"176",,,"Attached","5/7/2025 1:02 PM",,"7/29/2025","1","0","871","0","0","602","1,473","2",,"7/29/2025",,,"1",,,,"$615,000",,"Chilliwack & District Real Estate Board",,,"2","V2R 5L7","6/13/2025","$417.52",,"Residential Attached","Yes","BC","Chilliwack",,"4'10","6'10","Main","Foyer","11'8","11'4","Above","Bedroom","7'6","5'","Above","Laundry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9'6","9'6","Main","Kitchen",,,,,"10'6","8'9","Main","Dining Room","13'5","14'6","Main","Living Room",,,,,,,,,"15'","13'4","Above","Primary Bedroom","9'10","4'10","Above","Walk-In Closet","11'8","10'4","Above","Bedroom",,,,,,,,"Yes",,"175","R5"
"R2994489","F","66 45175 WELLS ROAD","H71","$615,000","4/25/2025","44","2","2","1,612","1992","33","2","$359.24","Townhouse","AGER, PETR, RENN","1","1",,"Freehold Strata","Sardis","8","4","No","Main","4","Yes","Above",,"No",,,"No",,,"No",,,"No",,,"No",,,"No",,"|1BATH4|2BATH4|","0","2","Chilliwack","Wellsbrooke","|LVGRMMN|DINRMMN|KITCHMN|FAMRMMN|BDRMMN|LAUNDMN|PBDRMABV|OTHERABV|","6/8/2025","89","89","44","Attached","4/25/2025 2:59 PM",,"8/25/2025","1","0","635","0","0","977","1,612","2",,"6/8/2025",,,"0","NOT USED",,,"$619,000",,"Chilliwack & District Real Estate Board",,,"2","V2R 3K7","6/30/2025","$381.51","6/30/2025","Residential Attached","Yes","BC","Chilliwack","55+","15'","14'","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11'10","8'11","Main","Dining Room",,,,,"11'6","8'9","Main","Kitchen","14'10","12'10","Main","Family Room","13'7","11'6","Main","Bedroom","9'1","5'6","Main","Laundry","14'9","11'","Above","Primary Bedroom","20'6","17'8","Above","Other",,,,,,"6/8/2025","$615,000","$381.51","0.99","0.97","2","No",,,"R4"
"R3005289","A","27 6434 VEDDER ROAD","H73","$619,900","5/20/2025","85","3","2","1,420","1994","31","2","$350.00","Townhouse","PETR","1","2",,"Freehold Strata","Sardis","0","5","No","Above","2","No","Main",,"No",,,"No",,,"No",,,"No",,,"No",,,"No",,,"0","3","Chilliwack","Willow Lane","|LVGRMMN|DINRMMN|KITCHMN|LAUNDMN|PBDRMABV|BDRMABV|BDRMABV|",,"85",,,"Attached","5/21/2025 10:56 AM",,"11/20/2025","1","0","742","0","0","678","1,420","1",,"5/20/2025",,"No","1",,,,"$619,900",,"Fraser Valley Real Estate Board",,,"2","V2R 3V7","5/21/2025","$436.55",,"Residential Attached","Yes","BC","Chilliwack",,"12'11","15'0","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9'11","10'0","Main","Dining Room",,,,,"9'11","10'11","Main","Kitchen","6'0","3'0","Main","Laundry","13'0","15'0","Above","Primary Bedroom","11'3","14'9","Above","Bedroom","10'4","8'11","Above","Bedroom",,,,,,,,,,,,,,,,"No","40","40","R4"
"R3009172","T","183 46150 THOMAS ROAD","H79","$619,900","5/30/2025","67","4","3","1,487","2022","3","4","$306.67","Townhouse","PETY","1","No Restriction",,"First Nations Lease","Sardis","4","2","No","Above",,"No",,,"No",,,"No",,"4","No","Abv Main 2",,"No",,,"No",,,"No",,"|1BATH2|5BATH4|9BATH4|9BATH4|9BATH4|9BATH4|","0","4","Chilliwack","Base 10","|BDRMMN|FOYERMN|UTILMN|LVGRMABV|KITCHABV|DINRMABV|PBDRMABV2|BDRMABV2|BDRMABV2|",,"67",,,"Attached","5/30/2025 11:35 AM",,"8/5/2025","1","0","617","0","0","198","1,487","2",,"8/5/2025",,"No","1",,,"2127","$619,900",,"Fraser Valley Real Estate Board",,,"3","V2R 6B3","6/26/2025","$416.88",,"Residential Attached","Yes","BC","Chilliwack",,"8'11","8'11","Main","Bedroom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3'11","8'11","Main","Foyer",,,,,"6'4","5'10","Main","Utility","16'5","14'","Above","Living Room","9'1","15'1","Above","Kitchen","10'2","15'","Above","Dining Room","10'3","12'3","Abv Main 2","Primary Bedroom","8'","13'8","Abv Main 2","Bedroom","10'11","10'8","Abv Main 2","Bedroom",,,,,,,,"No",,,"R4"
"R3011139","A","8 6029 PROMONTORY ROAD","H73","$619,900","6/4/2025","70","3","3","1,773","2019","6","3","$300.00","Townhouse","PETR","1","2",,"First Nations Lease","Sardis","4","2","No","Main","4","No","Above","4","Yes","Above",,,,,,,,,,,,,,,,,"0","3","Chilliwack","Wealick Place","|KITCHMN|DINRMMN|LVGRMMN|BDRMABV|BDRMABV|PBDRMABV|WICLOABV|FOYERBLW|RECRMBLW|",,"104",,,"Attached","6/4/2025 8:12 AM",,"9/4/2025",,"0","753","320","0","700","1,773","2",,"6/4/2025",,,"1",,"CITY OF CHILLIWACK","2144","$619,900","Feet","Chilliwack & District Real Estate Board","Chilliwack",,"3","V2R 6B1","6/4/2025","$349.63",,"Residential Attached","No","BC","Chilliwack",,"14'4","12'4","Main","Kitchen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20'3","9'10","Main","Dining Room",,,,,"20'7","16'5","Main","Living Room","10'11","10'4","Above","Bedroom","9'3","10'11","Above","Bedroom","14'1","17'6","Above","Primary Bedroom","5'10","6'0","Above","Walk-In Closet","5'7","4'9","Below","Foyer","20'1","7'2","Below","Recreation Room",,,,,,,,"Yes","18","18","RS3"
"R3015244","A","48 46906 RUSSELL ROAD","H74","$620,000","6/13/2025","61","3","3","1,724","2003","22","2","$373.08","Townhouse","PETR","1",,"100","Freehold Strata","Sardis","3","4","No","Above","3","Yes","Above","2","No","Below",,"No",,,"No",,,"No",,,"No",,,"No",,,"0","3","Chilliwack","Russell Heights","|LVGRMMN|DINRMMN|KITCHMN|PBDRMABV|BDRMABV|BDRMABV|WICLOABV|RECRMBST|FOYERBST|",,"61",,,"Attached","6/13/2025 1:12 PM",,"12/18/2025","1","0","681","388","0","655","1,724","2","7'10","6/13/2025",,,"1",,,,"$620,000","Feet","Fraser Valley Real Estate Board",,,"3","V2R 5T3","7/23/2025","$359.63",,"Residential Attached","Yes","BC","Chilliwack",,"17'2","16'2","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17'2","10'1","Main","Dining Room",,,,,"8'11","9'8","Main","Kitchen","11'8","14'0","Above","Primary Bedroom","8'4","11'11","Above","Bedroom","8'6","11'9","Above","Bedroom","4'9","3'11","Above","Walk-In Closet","11'10","16'8","Bsmt","Recreation Room","5'4","5'1","Bsmt","Foyer",,,,,,,,"No",,,"CD7"
"R3014308","P","19 5960 COWICHAN STREET","H78","$620,000","6/11/2025","26","3","2","1,684","2009","16","3","$401.00","Townhouse","PETR, RENR","1","2","100","Freehold Strata","Sardis","0","4","No","Main","3","No","Bsmt",,"No",,,"No",,,"No",,,"No",,,"No",,,"No",,,"0","3","Chilliwack","Garrison Crossing","|KITCHMN|LVGRMMN|PBDRMMN|BDRMMN|FOYERMN|FAMRMBLW|BDRMBLW|","7/7/2025","26","26","26","Attached","6/11/2025 3:06 PM",,"12/11/2025",,"0","0","842","0","842","1,684","2",,"7/7/2025",,,"0","NOT USED",,,"$639,900","Feet","Fraser Valley Real Estate Board",,,"2","V2R 0L6","7/22/2025","$368.17","7/22/2025","Residential Attached","Yes","BC","Chilliwack",,"10'7","12'","Main","Kitchen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20'","11'7","Main","Living Room",,,,,"13'2","11'3","Main","Primary Bedroom","15'","9'3","Main","Bedroom","6'1","12'5","Main","Foyer",,,,,"31'3","11'5","Below","Family Room","13'5","12'2","Below","Bedroom",,,,,,"7/7/2025","$620,000",,,,,"No",,"50","CD9"
"R3013478","P","139 6450 VEDDER ROAD","H73","$624,000","6/10/2025","14","3","3","1,665","1999","26","3","$361.91","Townhouse","PETR","1",,,"Freehold Strata","Sardis","3","3","Yes","Main","4","No","Main","4","No","Main",,"No",,,"No",,,"No",,,"No",,,"No",,,"0","3","Chilliwack","Country Grove","|LVGRMMN|KITCHMN|PBDRMMN|FOYERMN|EATARMN|LAUNDMN|LOFTABV|BDRMABV|BDRMABV|","6/24/2025","14","14","14","Attached","6/10/2025 2:32 PM",,"11/10/2025","1","0","676","0","0","989","1,665","3",,"6/24/2025",,,"0","NOT USED",,,"$624,000",,"Fraser Valley Real Estate Board",,,"2","V2R 5N7","6/10/2025","$374.77","7/7/2025","Residential Attached","Yes","BC","Chilliwack",,"14'9","12'3","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9'","9'","Main","Kitchen",,,,,"13'9","12'3","Main","Primary Bedroom","7'8","4'10","Main","Foyer","10'","10'","Main","Eating Area","5'9","4'","Main","Laundry","14'10","13'","Above","Loft","13'10","12'","Above","Bedroom","12'2","11'8","Above","Bedroom",,"6/24/2025","$624,000",,,,,"No",,"82","R4"
